name,age,birthday,occupation,hometown,another_category
Wiktoria Reglińska,21,,Student,"Rumia, Poland",Runner-Up
Will Moncada,28,"January 14, 1995",Budtender,Colombia,Runner-Up
Will Young,23,"September 3, 1999",Farmer,"Buckinghamshire, England",Dumped
Wilma Wedelbacke,,,Waitress,"Gothenburg, Sweden",Participating
Winston Hines,29,,Pharmaceutical sales rep,"Lexington, Kentucky",Dumped
Wojtek Szulczewski,24,,Mechanic,"Berlin, Germany",Dumped
Yamen Sanders,24,"August 10, 1994",Real Estate Agent,,Dumped
Yasin Yilmaz,28,,Sports Teacher,"Memmingerberg, Germany",Runner-Up
Yewande Biala,27,"October 26, 1995",Pharmacist,"Dublin, Ireland",Dumped
Zabrina Pettersson,23,"November 28, 1995",Makeup Artist,"Stockholm, Sweden",Participating
Zac Mirabelli,22,"June 29, 1997",Grocery store cashier,,Winner
Zara Holland,27,"August 24, 1995",Former Miss GB,"Hull, England",Walked
Zara Lackenby-Brown,25,"August 12, 1997",Model,"London, England",Dumped
Zara McDermott,26,"December 14, 1996",Government Advisor,"Essex, England",Dumped
Zeta Morrison,29,"May 24, 1993",Babysitter and Model,"Surrey, England",Winner
Ziggy Martin,28,,Model,Aruba,3rd Place
Zoe Basia Brown,32,"November 26, 1990",High fashion model,"South London, England",Dumped
Zoe Clish,27,"December 4, 1995",Warehouse Worker,"Gold Coast, Queensland",Runner-Up
Łukasz Urbaniak,27,,Mechanic,"Bremen, Germany",Walked
Rachael Evren,23,"February 17, 2000",Pilates InstructorSocial Media Creator,"Gold Coast, Queensland",Dumped
Rachel Christie,34,"July 24, 1988",Former athlete and model,"London, England",Dumped
Rachel Fenton,30,"September 18, 1992",Nurse,"Hampshire, England",Dumped
Rachel Finni,29,"April 25, 1992",Luxury travel specialist,"Cockfosters, England",Dumped
Rachel Lundell,21,,College student,"Minneapolis, Minnesota",Dumped
Raphaël Tremblay,23,,Hairdresser,"Chicoutimi, Canada",Participating
Raul Frias,26,"April 3, 1997",Basketball Player,"Hialeah, Florida",Dumped
Ray Drisdale,23,,Chef,"Amsterdam, Netherlands",Dumped
Ray Gantt,27,"April 29, 1996",Student and promoter,"Lakewood, New Jersey",3rd Place
Rebecca Gormley,25,"April 18, 1998",Part-time model and carer,"Newcastle, England",Dumped
Reece Ford,23,"November 28, 1998",Model,"Coventry, England",Dumped
Remi Lambert,23,"March 2, 2000",Model,"Manchester, England",Dumped
Ricarda Raatz,27,,Model,"Erkrath, Germany",Dumped
Rob Lipsett,31,"January 17, 1992",Entrepreneur,"Dublin, Ireland",Dumped
Roksana Nitarska-Wójcik,28,1993,Logistics,"Krakow, Poland",Dumped
Roman Raamo,28,,Machine Operator,"Hamburg, Germany",3rd Place
Ron Hall,25,"August 20, 1997",Financial advisor,"Essex, England",Runner-Up
Ronni Krongold,21,,Personal trainer,"Sydney, New South Wales",Dumped
Rosie Seabrook,24,"July 23, 1998",Industry Placement Advisor,"Buckinghamshire, England",Dumped
Rosie Williams,31,"September 26, 1991",Solicitor,"South Wales, Wales",Dumped
Roxanna Ahmad,,,Account Manager,"London, United Kingdom",Dumped
Rubie Michelle,23,,AuthorModel,"Terrebonne, Canada",Walked
Ruby Ennor,,,,"Gold Coast, Queensland",Dumped
Ryan Reid,27,"December 12, 1995",Carpenter,"Terrigal, New South Wales",Dumped
Ryan Weekley,22,"November 8, 2000",Steel Erector,"Nottingham, England",Dumped
Rykard Jenkins,32,"March 10, 1991",Personal Trainer,"Kent, England",Walked
Sabina Marshall,,,Influencer,"Brno, Czech Republic",Participating
Sabrina Doberstein,25,,Model,"Neukirchen-Vluyn, Germany",Dumped
Sadee Sub Luban,,,Law StudentRugby league player,"Sydney, New South Wales",Dumped
Salma Naran,21,"May 30, 2001",Model and Influencer,"Dublin, Ireland",Dumped
Sam Bird,30,"November 28, 1992",EntrepreneurPersonal Trainer,"Norwich, England",Dumped
Sam Gowland,27,"August 2, 1995",Oil Rig Worker,"Middlesbrough, England",Dumped
Sam Jackson,25,"March 7, 1998",Maintenance Manager,"Clitheroe, England",Dumped
Sam Kornse,24,,Sales Representative,"Phillipsburg, New Jersey",Dumped
Sam Withers,32,"November 29, 1990",DJ,"Melbourne, Australia",Dumped
Samie Elishi,23,"February 15, 2000",Senior estate agent coordinator,"London, England",3rd Place
Samira Berkane,22,,Train Conductor,"Hamburg, Germany",Runner-Up
Samira Mighty,27,"November 16, 1995",West End Performer,"London, England",Walked
Sammy James,27,April 1995,Beauty Buyer,"Leicester, England",Dumped
Samuel Agbiji,22,"May 25, 2000",Model,"Manchester, England",Dumped
Samuel Lemay,,,Automotive Warehouse Manager,"Grenville-sur-la-Rouge, Canada",Dumped
Sanam Harrinanan,,May 1998,Social Worker,"Bedford, England",Winner
Sandra Dorsz,22,,ModelInfluencer,"Warsaw, Poland",Participating
Sandra Kosik,21,,Businesswoman,"Warsaw, Poland",Participating
Sandrine Seguin,,,Entrepreneur,"Montreal, Canada",Dumped
Sanpreet Singh,27,,Osteopath,"Drobak, Norway",Dumped
Sara Alm,,,Store manager,"Ängelholm, Sweden",Participating
Sara Bergmannova,,,Student,"Prague, Czech Republic",Dumped
Sara Ciuła,26,,Interior Architect,"Wroclaw, Poland",4th Place
Sara Marshall,,,Influencer,"Brno, Czech Republic",Participating
Savanna Darnell,27,"October 28, 1995",SingerDancer,"Sheffield, England",Dumped
Scott Thomas,34,"August 11, 1988",Club promoter,"Manchester, England",3rd Place
Sebastian Kalinowski,26,,Personal trainer,"Gdańsk, Poland",Runner-Up
Sereniti Springs,28,,Bartender,"New Orleans, Louisiana",Dumped
Sha Senior,26,,Model,"Heemstede, Netherlands",Dumped
Shannen McGrath,29,"January 5, 1994",,"Dublin, Ireland",Dumped
Shannon Singh,24,"July 7, 1998",Model,"Fife, Scotland",Dumped
Shannon St. Clair,27,"March 14, 1996",Construction Company Controller,"Bucks County, Pennsylvania",Walked
Shaq Muhammad,25,"March 31, 1998",Airport security officer,"London, England",4th Place
Sharon Gaffka,27,"December 1, 1995",Civil Servant – Operations Lead for Department of Transport,"Oxford, England",Dumped
Shaughna Phillips,29,"April 11, 1994",Democratic Services Officer,"London, England",Dumped
Shayne Tino,,,Fashion designer,"Melbourne, Victoria",Dumped
Shelby Bilby,29,"December 16, 1993",,"Toowoomba, Australia",Dumped
Sher Suarez,25,"March 19, 1998",Hostess,"Miami, Florida",Dumped
Sherif Lanre,24,"April 17, 1999",Chef and semi-professional rugby player,"London, England",Removed
Siannise Fudge,28,"July 5, 1994",Beauty consultant,"Bristol, England",Runner-Up
Sidney Wolf,32,,Actor and Model,"Dusseldorf, Germany",Winner
Simon Ceberg,26,,Transport,"Stockholm, Sweden",Participating
Simon Searles,35,"March 15, 1988",Barber,"Leeds, England",Dumped
Slade Parker,,,Printing and Advertising Business Owner,"Rome, Georgia",Walked
Sofie Antonsen,20,,Social media influencer,"Farsund, Norway",Dumped
Sophie Gradon,,"October 25, 1985",International Circus performer,"Kent, England",Walked
Sophie Piper,24,"October 27, 1998",Medical PA,"Essex, England",Dumped
Spencer Wilks,24,,E-Commerce Business Owner,"Bournemouth, England",Dumped
Stanley Louis,28,,Kinesiologist,"Montreal, Canada",Dumped
Stefan Andruch,,,IT Specialist,"Prague, Czech Republic",Dumped
Stella Hutcheon,25,"November 28, 1997",Radio Media Coordinator,"Brisbane, Queensland",Participating
Stephanie Lam,28,"March 13, 1995",Account ManagerModel,"Hertfordshire, England",Dumped
Steve Ball,25,,Plumber,"Wiltshire, England",Dumped
Stevie Bradley,21,"February 21, 1998",Student,Isle of Man,Dumped
Summer Botwe,23,"March 15, 2000",Business Owner,"Hertfordshire, England",Dumped
Sydney Paight,23,"October 9, 1999",Operations Manager,"Los Angeles, California",Runner-Up
Tak Chipangura,22,"June 29, 2000",Security GuardTik Tok Rapper,"Brisbane, Queensland",Participating
Taku Chimwaza,,,Rugby player,"Wollongong, New South Wales",Dumped
Tamara Vanousova,,,Yoga teacher,"Brno, Czech Republic",Dumped
Tanja Løvik,29,,Makeup artist,"Trondheim, Norway",Dumped
Tanya Manhenga,23,"January 31, 2000",Student and influencer,"Liverpool, England",4th Place
Tanyel Revan,26,"May 16, 1996",Hair Stylist,"North London, England",Dumped
Tasha Ghouri,24,"August 11, 1998",Model and Dancer,"Thirsk, England",4th Place
Tayla Damir,26,"November 26, 1996",Beauty Queen,"Perth, Australia",Winner
Tayla Mellington,,,Customer service representative,"Gold Coast, Queensland",Dumped
Tea Frazer,20,,Retail Assistant,"Perth, Western Australia",Dumped
Teddy Briggs,25,1993,Model,"Adelaide, Australia",Dumped
Teddy Soares,26,"April 6, 1995",Senior Financial Consultant,"Manchester, England",3rd Place
Terry Walsh,34,"July 4, 1988",Carpenter,"Surrey, England",Dumped
Thammy Dias,29,,Flame blower,"Larvik, Norway",Dumped
Theo Campbell,31,"July 14, 1991",Athlete,"Bath, England",Dumped
Thijs Bouma,27,,Model,"Amsterdam, Netherlands",Runner-Up
Thodoris Kontoleon,,,Bartender,"Athens, Greece",Dumped
Thomas Brien,23,,Marketing Consultant,"Fredrikstad, Norway",Dumped
Thérèse Ström,27,"June 30, 1992",Student,"Malmö, Sweden",Participating
Tigerlily Cooley,24,"May 12, 1998",Entrepreneur,"Seattle, Washington",Dumped
Timmy Pandolfi,29,"June 5, 1993",Realtor and Personal Trainer,"Los Angeles, California",Winner
Tina Provis,27,"May 1, 1996",PR Consultant,"Sydney, New South Wales",Winner
Tina Stinnes,28,"February 25, 1995",Student,"London, England",Dumped
Toby Aromolaran,24,"March 3, 1999",Semi-pro footballer,"Essex, England",Runner-Up
Todd Elton,30,"April 29, 1993",Former Australian Football League Player,"Melbourne, Victoria",Dumped
Tom Clare,23,"September 2, 1999",Semi-professional footballer,"Barnsley, England",3rd Place
Tom Powell,31,"December 26, 1991",Barman and fitness instructor,"Port Talbot, Wales",Dumped
Tom Walker,29,"January 1, 1990",Model,"Leeds, England",Dumped
Tommy Fury,23,"May 7, 1999",Boxer,"Manchester, England",Runner-Up
Tommy-Lee Labonte,,,Plumber,"Saint-Hubert, Canada",3rd Place
Tony Alberti,36,"May 6, 1986",Property developer,"Manchester, England",Dumped
Travis Almond,30,"January 19, 1993","PT, Butler in the Buff and Bouncer","Essex, England",Dumped
Tre Forte,25,"November 28, 1994",Personal Trainer,"Boca Raton, Florida",Dumped
Tre Watson,26,,Youth Football Coach,"Corona, California",Dumped
Trina Njoroge,27,"April 13, 1996",Psychiatric Nurse,"Hacienda Heights, California",Dumped
Troy Frith,29,"September 10, 1993",Salesman,"Kent, England",Dumped
Tyla Carr,30,"January 29, 1993",Model,"Surrey, England",Dumped
Tyler Cruickshank,27,"May 12, 1995",Estate agent,"Croydon, England",4th Place
Tyler Radziszewski,24,"March 2, 1999",Student,"Cleveland, Ohio",Dumped
Tyne-Lexy Clarson,26,"February 2, 1997",Student,"Birmingham, England",Dumped
Vakoo Kauapirua,,"June 30, 1995",Model,"Sydney, New South Wales",Dumped
Valerie Bragg,23,,Nutritional Consultant,"San José, Costa Rica",Dumped
Valerie van Zandvoort,27,,,"Nairobi, Kenya",Dumped
Vanessa Joli,28,"October 8, 1994",Business Woman,"Sydney, Australia",Dumped
Vasilis Ntafos,,,Bar Owner,"Piraeus, Greece",Participating
Victor Barstad,23,,Car salesman,"Lillestrom, Norway",Dumped
Victoria Vermeer,20,,Model,"Amsterdam, Netherlands",3rd Place
Vivien Michalla,26,,,"Mühlheim an der Ruhr, Germany",Winner
Véroniqua Dodd,,,Eyelash Technician,"Saint-Jean-sur-Richelieu, Canada",3rd Place
Wallace Wilson,27,"November 4, 1995",Personal trainer,"Inverness, Scotland",Dumped
Weronika Bolchajmer,33,,Real Estate Agent,"Warsaw, Poland",Dumped
Weronika Piątek,22,,Influencer,"Warsaw, Poland",3rd Place
Wes Nelson,24,"May 3, 1998",Electrical and Nuclear Systems Design Engineer,"Staffordshire, England",4th Place
Wesley Ogsbury,,,Entrepreneur,"Denver, Colorado",Dumped
Weston Richey,25,July 1993,Photographer,"Dallas, Texas",4th Place
Wiktoria Kowalczyk,24,,Customer Advisor,"Belfast, Northern Ireland",Dumped
Wiktoria Reglińska,21,,Student,"Rumia, Poland",Runner-Up
Will Moncada,28,"January 14, 1995",Budtender,Colombia,Runner-Up
Will Young,23,"September 3, 1999",Farmer,"Buckinghamshire, England",Dumped
Wilma Wedelbacke,,,Waitress,"Gothenburg, Sweden",Participating
Winston Hines,29,,Pharmaceutical sales rep,"Lexington, Kentucky",Dumped
Wojtek Szulczewski,24,,Mechanic,"Berlin, Germany",Dumped
Yamen Sanders,24,"August 10, 1994",Real Estate Agent,,Dumped
Yasin Yilmaz,28,,Sports Teacher,"Memmingerberg, Germany",Runner-Up
Yewande Biala,27,"October 26, 1995",Pharmacist,"Dublin, Ireland",Dumped
Zabrina Pettersson,23,"November 28, 1995",Makeup Artist,"Stockholm, Sweden",Participating
Zac Mirabelli,22,"June 29, 1997",Grocery store cashier,,Winner
Zara Holland,27,"August 24, 1995",Former Miss GB,"Hull, England",Walked
Zara Lackenby-Brown,25,"August 12, 1997",Model,"London, England",Dumped
Zara McDermott,26,"December 14, 1996",Government Advisor,"Essex, England",Dumped
Zeta Morrison,29,"May 24, 1993",Babysitter and Model,"Surrey, England",Winner
Ziggy Martin,28,,Model,Aruba,3rd Place
Zoe Basia Brown,32,"November 26, 1990",High fashion model,"South London, England",Dumped
Zoe Clish,27,"December 4, 1995",Warehouse Worker,"Gold Coast, Queensland",Runner-Up
Łukasz Urbaniak,27,,Mechanic,"Bremen, Germany",Walked
Vakoo Kauapirua,,"June 30, 1995",Model,"Sydney, New South Wales",Dumped
Valerie Bragg,23,,Nutritional Consultant,"San José, Costa Rica",Dumped
Valerie van Zandvoort,27,,,"Nairobi, Kenya",Dumped
Vanessa Joli,28,"October 8, 1994",Business Woman,"Sydney, Australia",Dumped
Vasilis Ntafos,,,Bar Owner,"Piraeus, Greece",Participating
Victor Barstad,23,,Car salesman,"Lillestrom, Norway",Dumped
Victoria Vermeer,20,,Model,"Amsterdam, Netherlands",3rd Place
Vivien Michalla,26,,,"Mühlheim an der Ruhr, Germany",Winner
Véroniqua Dodd,,,Eyelash Technician,"Saint-Jean-sur-Richelieu, Canada",3rd Place
Wallace Wilson,27,"November 4, 1995",Personal trainer,"Inverness, Scotland",Dumped
Weronika Bolchajmer,33,,Real Estate Agent,"Warsaw, Poland",Dumped
Weronika Piątek,22,,Influencer,"Warsaw, Poland",3rd Place
Wes Nelson,24,"May 3, 1998",Electrical and Nuclear Systems Design Engineer,"Staffordshire, England",4th Place
Wesley Ogsbury,,,Entrepreneur,"Denver, Colorado",Dumped
Weston Richey,25,July 1993,Photographer,"Dallas, Texas",4th Place
Wiktoria Kowalczyk,24,,Customer Advisor,"Belfast, Northern Ireland",Dumped
Wiktoria Reglińska,21,,Student,"Rumia, Poland",Runner-Up
Will Moncada,28,"January 14, 1995",Budtender,Colombia,Runner-Up
Will Young,23,"September 3, 1999",Farmer,"Buckinghamshire, England",Dumped
Wilma Wedelbacke,,,Waitress,"Gothenburg, Sweden",Participating
Winston Hines,29,,Pharmaceutical sales rep,"Lexington, Kentucky",Dumped
Wojtek Szulczewski,24,,Mechanic,"Berlin, Germany",Dumped
Yamen Sanders,24,"August 10, 1994",Real Estate Agent,,Dumped
Yasin Yilmaz,28,,Sports Teacher,"Memmingerberg, Germany",Runner-Up
Yewande Biala,27,"October 26, 1995",Pharmacist,"Dublin, Ireland",Dumped
Zabrina Pettersson,23,"November 28, 1995",Makeup Artist,"Stockholm, Sweden",Participating
Zac Mirabelli,22,"June 29, 1997",Grocery store cashier,,Winner
Zara Holland,27,"August 24, 1995",Former Miss GB,"Hull, England",Walked
Zara Lackenby-Brown,25,"August 12, 1997",Model,"London, England",Dumped
Zara McDermott,26,"December 14, 1996",Government Advisor,"Essex, England",Dumped
Zeta Morrison,29,"May 24, 1993",Babysitter and Model,"Surrey, England",Winner
Ziggy Martin,28,,Model,Aruba,3rd Place
Zoe Basia Brown,32,"November 26, 1990",High fashion model,"South London, England",Dumped
Zoe Clish,27,"December 4, 1995",Warehouse Worker,"Gold Coast, Queensland",Runner-Up
Łukasz Urbaniak,27,,Mechanic,"Bremen, Germany",Walked
Yamen Sanders,24,"August 10, 1994",Real Estate Agent,,Dumped
Yasin Yilmaz,28,,Sports Teacher,"Memmingerberg, Germany",Runner-Up
Yewande Biala,27,"October 26, 1995",Pharmacist,"Dublin, Ireland",Dumped
Zabrina Pettersson,23,"November 28, 1995",Makeup Artist,"Stockholm, Sweden",Participating
Zac Mirabelli,22,"June 29, 1997",Grocery store cashier,,Winner
Zara Holland,27,"August 24, 1995",Former Miss GB,"Hull, England",Walked
Zara Lackenby-Brown,25,"August 12, 1997",Model,"London, England",Dumped
Zara McDermott,26,"December 14, 1996",Government Advisor,"Essex, England",Dumped
Zeta Morrison,29,"May 24, 1993",Babysitter and Model,"Surrey, England",Winner
Ziggy Martin,28,,Model,Aruba,3rd Place
Zoe Basia Brown,32,"November 26, 1990",High fashion model,"South London, England",Dumped
Zoe Clish,27,"December 4, 1995",Warehouse Worker,"Gold Coast, Queensland",Runner-Up
